公司統一編號,公司名稱,分公司統一編號,分公司名稱,Address,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,Longitude,Latitude
16740494,全聯實業股份有限公司,24801190,新竹關東分公司,新竹市東區光復路1段250號,1,1041103,1091006,120.993378,24.7920609
16740494,全聯實業股份有限公司,24801473,蘆竹南昌分公司,桃園市蘆竹區福昌里3鄰南福街102號,1,1041106,1100706,121.2923603,25.0398454
16740494,全聯實業股份有限公司,24801585,台中東光分公司,臺中市北區東光路346、348號,1,1041110,       ,120.6990454,24.1544368
16740494,全聯實業股份有限公司,24801699,嘉義博愛分公司,嘉義市西區博愛路1段261號,1,1041111,1111207,120.441675,23.4839042
16740494,全聯實業股份有限公司,24801754,板橋板新分公司,新北市板橋區中山路1段252號、254號、256號、258號、260號,1,1041113,1120407,121.4618415,25.0114095
16740494,全聯實業股份有限公司,24801804,旗山中華分公司,高雄市旗山區中華路31、33號,1,1041113,1130604,120.4838532,22.880055
16740494,全聯實業股份有限公司,24801852,台南興南分公司,臺南市南區興南街200號,1,1041113,1131204,120.1814332,22.9213225
16740494,全聯實業股份有限公司,24801874,高雄光武分公司,高雄市三民區九如一路278號,3,1041113,1110707,120.3353074,22.638002
16740494,全聯實業股份有限公司,24801924,永安捷運分公司,新北市永和區中和路489號地下1樓,1,1041113,1130812,121.5145353,25.0103251
16740494,全聯實業股份有限公司,24801993,新竹香北分公司,新竹市香山區香北路58號,1,1041116,1101103,120.9281201,24.792337
16740494,全聯實業股份有限公司,24802254,關山和平分公司,臺東縣關山鎮和平路1-20號、1-21號、1-22號,1,1041120,1130513,121.1645353,23.0489196
16740494,全聯實業股份有限公司,24802472,泰山全興分公司,新北市泰山區全興路101號,1,1041124,1050518,121.4336262,25.0572106
16740494,全聯實業股份有限公司,24802613,潮州光復分公司,屏東縣潮州鎮光復路179號,1,1041126,1120504,120.5356179,22.5383961
16740494,全聯實業股份有限公司,24802634,台南明興分公司,臺南市南區明興路53、55、57號,1,1041126,       ,120.1880397,22.9596379
16740494,全聯實業股份有限公司,24802727,花蓮壽豐分公司,花蓮縣壽豐鄉壽山路33、35號,1,1041130,1070611,121.5088543,23.8700445
16740494,全聯實業股份有限公司,24802748,林口麗都分公司,新北市林口區文化二路1段106、108號,1,1041130,1111103,121.3679682,25.0708555
16740494,全聯實業股份有限公司,24802846,基隆百三分公司,基隆市七堵區百三街107號1樓,1,1041201,       ,121.6976159,25.0820351
16740494,全聯實業股份有限公司,24802851,埤頭斗苑分公司,彰化縣埤頭鄉合興村斗苑西路179號,1,1041201,1120407,120.4611098,23.8912414
16740494,全聯實業股份有限公司,24803520,花蓮美崙分公司,花蓮縣花蓮市中美路113-6、113-7、113-8號,1,1041210,       ,121.6269832,23.9930353
16740494,全聯實業股份有限公司,24803606,文山福興分公司,臺北市文山區福興路62號,1,1041214,       ,121.5500031,25.0039467
16740494,全聯實業股份有限公司,24803710,竹北隘口分公司,新竹縣竹北市隘口六街57號,1,1041215,1130515,121.0334473,24.8033601
16740494,全聯實業股份有限公司,24804507,土城立仁分公司,新北市土城區立仁街42號地下1層,1,1041229,1110506,121.4605604,24.9825615
16740494,全聯實業股份有限公司,24804669,神岡中正分公司,臺中市神岡區中正路21號,1,1050104,1051220,120.6579048,24.2573345
16740494,全聯實業股份有限公司,24804767,三重捷運分公司,新北市三重區捷運路39、41號,1,1050104,1060802,121.4842567,25.0559237
16740494,全聯實業股份有限公司,24804990,台中三民分公司,臺中市中區三民路2段140號,1,1050115,1110321,120.6809281,24.1436322
16740494,全聯實業股份有限公司,24805040,苗栗銅鑼分公司,苗栗縣銅鑼鄉大同路51、53號,1,1050111,1051216,120.7865109,24.4894726
16740494,全聯實業股份有限公司,24805225,新莊中原分公司,新北市新莊區中原東路192、196號1~2樓,1,1050112,1130111,121.4611382,25.0545076
16740494,全聯實業股份有限公司,24805365,汐止台五分公司,新北市汐止區新台五路1段208號地下1層,3,1050114,1050518,121.6349233,25.0567518
16740494,全聯實業股份有限公司,24805371,新莊中榮分公司,新北市新莊區中港路526、528號,1,1050114,1081112,121.4517054,25.0523153
16740494,全聯實業股份有限公司,24805386,台中太原分公司,臺中市北屯區太原路3段191之1號,1,1050114,1090416,120.6914694,24.1651593
16740494,全聯實業股份有限公司,24805392,中正牯嶺分公司,臺北市中正區板溪里和平西路1段52、54號,1,1050114,1110506,121.5205854,25.0253933
16740494,全聯實業股份有限公司,24805409,卓蘭昭永分公司,苗栗縣卓蘭鎮昭永路1號,1,1050114,1070529,120.8267345,24.3097096
16740494,全聯實業股份有限公司,24805415,新店中正分公司,新北市新店區中正路189巷2-1號,1,1050114,1081206,121.540346,24.972143
16740494,全聯實業股份有限公司,24805421,內湖南湖分公司,臺北市內湖區安湖里東湖路33巷19號地下一層,1,1050115,1131203,121.6137652,25.0689361
16740494,全聯實業股份有限公司,24805484,恆春墾丁分公司,屏東縣恆春鎮墾丁路12號2樓,3,1050115,       ,120.8033674,21.9431922
16740494,全聯實業股份有限公司,24805506,文山辛亥分公司,臺北市文山區興業里興隆路2段252號,1,1050115,1120107,121.5542299,25.0006593
16740494,全聯實業股份有限公司,24805512,大安師大分公司,臺北市大安區羅斯福路3段81號,3,1050115,1061101,121.526236,25.022703
16740494,全聯實業股份有限公司,24805528,大安樂利分公司,臺北市大安區樂利路89、91號,1,1050115,1120107,121.55219,25.0257007
16740494,全聯實業股份有限公司,24805533,新莊豐年分公司,新北市新莊區豐年街21號,1,1050115,1050518,121.4464328,25.0326027
16740494,全聯實業股份有限公司,24805549,樹林樹德分公司,新北市樹林區樹德街35號,1,1050115,1110209,121.4216384,24.9916668
16740494,全聯實業股份有限公司,24805554,台中健行分公司,臺中市北區健行路447號,1,1050115,1090213,120.6797966,24.1589606
16740494,全聯實業股份有限公司,24805560,中和中正分公司,新北市中和區中正路80號,1,1050115,1090306,121.5002666,24.9938358
16740494,全聯實業股份有限公司,24805576,新店惠國分公司,新北市新店區中正路12、12-1、12-2號及12號地下層,1,1050115,1090416,121.5455091,24.9696843
16740494,全聯實業股份有限公司,24805581,大安居安分公司,臺北市大安區安和路2段88號,1,1050115,1120105,121.5503136,25.0288878
16740494,全聯實業股份有限公司,24805597,北投行義分公司,臺北市北投區永欣里行義路10巷2號,1,1050115,1050601,121.5262729,25.1242039
16740494,全聯實業股份有限公司,24805604,台中豐后分公司,臺中市豐原區三豐路二段8號,1,1050115,1090309,120.720356,24.264371
16740494,全聯實業股份有限公司,24805610,中山德惠分公司,臺北市中山區新喜里吉林路413號1、2樓,1,1050115,1131106,121.5305535,25.0664666
16740494,全聯實業股份有限公司,24805652,永和警光分公司,新北市永和區竹林路168號地下1層、地下1層之1、地下1層之2,1,1050115,1100412,121.5202391,25.010108
16740494,全聯實業股份有限公司,24805668,龜山公園分公司,桃園市龜山區文化二路82號,3,1050115,1071211,121.3675661,25.0558563
16740494,全聯實業股份有限公司,24805674,虎尾中正分公司,雲林縣虎尾鎮林森路2段23號,1,1050115,1050624,120.4311783,23.7074329
16740494,全聯實業股份有限公司,24805689,信義莊敬分公司,臺北市信義區莊敬路325巷58號,1,1050115,1070427,121.5649686,25.0289195
16740494,全聯實業股份有限公司,24805695,大安四維分公司,臺北市大安區四維路41、43、45號,3,1050115,1050809,121.548215,25.0349986
